traceid,prb_id,vantageCC,vantageASN,destination,destination_ip,destCC,hostCC,destASN,hostCo,remote,interCC,hopCC,hopCCdb,finalASN,rtt
12021261,14945,GH,3491,Ghanaculture.gov.gh,217.160.233.140,DE,DE,8560,1&1 Internet SE,1,1,DE,DE,8560,109.986
12021261,33031,GH,327814,Ghanaculture.gov.gh,217.160.233.140,DE,DE,8560,1&1 Internet SE,1,1,DE,DE,8560,113.528
12021261,33031,GH,327814,Ghanaculture.gov.gh,217.160.233.140,DE,DE,8560,1&1 Internet SE,1,1,DE,DE,8560,113.411
12021261,33031,GH,327814,Ghanaculture.gov.gh,217.160.233.140,DE,DE,8560,1&1 Internet SE,1,1,DE,DE,8560,113.596
12021261,4274,GH,29614,Ghanaculture.gov.gh,217.160.233.140,DE,DE,8560,1&1 Internet SE,1,1,DE,DE,8560,120.574
12021261,4274,GH,29614,Ghanaculture.gov.gh,217.160.233.140,DE,DE,8560,1&1 Internet SE,1,1,DE,DE,8560,118.03
12021263,14945,GH,3491,Epa.gov.gh,64.92.125.35,US,US,13345,Rockynet.com,1,1,US,US,13345,216.693
12021263,14945,GH,3491,Epa.gov.gh,64.92.125.35,US,US,13345,Rockynet.com,1,1,US,US,13345,216.698
12021263,14945,GH,3491,Epa.gov.gh,64.92.125.35,US,US,13345,Rockynet.com,1,1,US,US,13345,216.663
12021263,33031,GH,327814,Epa.gov.gh,64.92.125.35,US,US,13345,Rockynet.com,1,1,US,US,13345,216.424
12021263,33031,GH,327814,Epa.gov.gh,64.92.125.35,US,US,13345,Rockynet.com,1,1,US,US,13345,216.272
12021263,33031,GH,327814,Epa.gov.gh,64.92.125.35,US,US,13345,Rockynet.com,1,1,US,US,13345,216.298
12021263,4274,GH,29614,Epa.gov.gh,64.92.125.35,US,US,13345,Rockynet.com,1,1,US,US,13345,237.754
12021263,4274,GH,29614,Epa.gov.gh,64.92.125.35,US,US,13345,Rockynet.com,1,1,US,US,13345,237.235
12021263,4274,GH,29614,Epa.gov.gh,64.92.125.35,US,US,13345,Rockynet.com,1,1,US,US,13345,237.362
12021264,14945,GH,3491,Ilgs-edu.org,216.55.141.205,US,US,18501,Codero,1,1,US,US,18501,233.998
12021264,14945,GH,3491,Ilgs-edu.org,216.55.141.205,US,US,18501,Codero,1,1,US,US,18501,233.883
12021264,14945,GH,3491,Ilgs-edu.org,216.55.141.205,US,US,18501,Codero,1,1,US,US,18501,233.779
12021264,33031,GH,327814,Ilgs-edu.org,216.55.141.205,US,US,18501,Codero,1,1,US,US,18501,241.013
12021264,33031,GH,327814,Ilgs-edu.org,216.55.141.205,US,US,18501,Codero,1,1,US,US,18501,240.97
12021264,33031,GH,327814,Ilgs-edu.org,216.55.141.205,US,US,18501,Codero,1,1,US,US,18501,240.781
12021264,4274,GH,29614,Ilgs-edu.org,216.55.141.205,US,US,18501,Codero,1,1,US,US,18501,237.804
12021264,4274,GH,29614,Ilgs-edu.org,216.55.141.205,US,US,18501,Codero,1,1,US,US,18501,237.231
12021264,4274,GH,29614,Ilgs-edu.org,216.55.141.205,US,US,18501,Codero,1,1,US,US,18501,237.729
12021265,14945,GH,3491,Commonfund.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,193.801
12021265,14945,GH,3491,Commonfund.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,193.671
12021265,14945,GH,3491,Commonfund.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,193.784
12021265,33031,GH,327814,Commonfund.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,98.671
12021265,33031,GH,327814,Commonfund.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,98.4
12021265,33031,GH,327814,Commonfund.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,98.396
12021265,4274,GH,29614,Commonfund.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,102.192
12021265,4274,GH,29614,Commonfund.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,102.243
12021265,4274,GH,29614,Commonfund.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,102.163
12021558,14945,GH,3491,Ghana.gov.gh,197.253.124.60,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,193.981
12021558,14945,GH,3491,Ghana.gov.gh,197.253.124.60,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,194.174
12021558,14945,GH,3491,Ghana.gov.gh,197.253.124.60,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,194.246
12021558,33031,GH,327814,Ghana.gov.gh,197.253.124.60,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,98.779
12021558,33031,GH,327814,Ghana.gov.gh,197.253.124.60,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,98.655
12021558,33031,GH,327814,Ghana.gov.gh,197.253.124.60,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,98.547
12021558,4274,GH,29614,Ghana.gov.gh,197.253.124.60,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,100.441
12021558,4274,GH,29614,Ghana.gov.gh,197.253.124.60,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,100.839
12021558,4274,GH,29614,Ghana.gov.gh,197.253.124.60,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,100.719
12021559,14945,GH,3491,Energycom.gov.gh,192.230.66.188,US,US,19551,Incapsula Inc,1,1,US,US,19551,167.39
12021559,14945,GH,3491,Energycom.gov.gh,192.230.66.188,US,US,19551,Incapsula Inc,1,1,US,US,19551,167.369
12021559,14945,GH,3491,Energycom.gov.gh,192.230.66.188,US,US,19551,Incapsula Inc,1,1,US,US,19551,167.394
12021559,33031,GH,327814,Energycom.gov.gh,192.230.74.188,US,US,19551,Incapsula Inc,1,1,US,US,19551,173.189
12021559,33031,GH,327814,Energycom.gov.gh,192.230.74.188,US,US,19551,Incapsula Inc,1,1,US,US,19551,172.355
12021559,33031,GH,327814,Energycom.gov.gh,192.230.74.188,US,US,19551,Incapsula Inc,1,1,US,US,19551,172.417
12021559,4274,GH,29614,Energycom.gov.gh,192.230.66.188,US,US,19551,Incapsula Inc,1,1,US,US,19551,173.929
12021559,4274,GH,29614,Energycom.gov.gh,192.230.66.188,US,US,19551,Incapsula Inc,1,1,US,US,19551,173.784
12021560,14945,GH,3491,Mofep.gov.gh,176.9.206.203,DE,DE,24940,Hetzner Online GmbH,1,1,DE,DE,24940,112.766
12021560,14945,GH,3491,Mofep.gov.gh,176.9.206.203,DE,DE,24940,Hetzner Online GmbH,1,1,DE,DE,24940,112.728
12021560,14945,GH,3491,Mofep.gov.gh,176.9.206.203,DE,DE,24940,Hetzner Online GmbH,1,1,DE,DE,24940,112.667
12021560,33031,GH,327814,Mofep.gov.gh,176.9.206.203,DE,DE,24940,Hetzner Online GmbH,1,1,DE,DE,24940,118.305
12021560,33031,GH,327814,Mofep.gov.gh,176.9.206.203,DE,DE,24940,Hetzner Online GmbH,1,1,DE,DE,24940,118.074
12021560,33031,GH,327814,Mofep.gov.gh,176.9.206.203,DE,DE,24940,Hetzner Online GmbH,1,1,DE,DE,24940,118.083
12021560,4274,GH,29614,Mofep.gov.gh,176.9.206.203,DE,DE,24940,Hetzner Online GmbH,1,1,DE,DE,24940,312.446
12021560,4274,GH,29614,Mofep.gov.gh,176.9.206.203,DE,DE,24940,Hetzner Online GmbH,1,1,DE,DE,24940,312.105
12021561,14945,GH,3491,Ndpc.gov.gh,149.56.24.55,CA,CA,16276,OVH SAS,1,1,CA,CA,16276,172.381
12021561,14945,GH,3491,Ndpc.gov.gh,149.56.24.55,CA,CA,16276,OVH SAS,1,1,CA,CA,16276,172.36
12021561,14945,GH,3491,Ndpc.gov.gh,149.56.24.55,CA,CA,16276,OVH SAS,1,1,CA,CA,16276,172.302
12021561,33031,GH,327814,Ndpc.gov.gh,149.56.24.55,CA,CA,16276,OVH SAS,1,1,CA,CA,16276,369.643
12021561,33031,GH,327814,Ndpc.gov.gh,149.56.24.55,CA,CA,16276,OVH SAS,1,1,CA,CA,16276,175.56
12021561,33031,GH,327814,Ndpc.gov.gh,149.56.24.55,CA,CA,16276,OVH SAS,1,1,CA,CA,16276,175.256
12021561,4274,GH,29614,Ndpc.gov.gh,149.56.24.55,CA,CA,16276,OVH SAS,1,1,CA,CA,16276,191.596
12021561,4274,GH,29614,Ndpc.gov.gh,149.56.24.55,CA,CA,16276,OVH SAS,1,1,CA,CA,16276,191.528
12021561,4274,GH,29614,Ndpc.gov.gh,149.56.24.55,CA,CA,16276,OVH SAS,1,1,CA,CA,16276,191.486
12021563,14945,GH,3491,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,193.78
12021563,14945,GH,3491,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,193.736
12021563,14945,GH,3491,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,193.762
12021563,33031,GH,327814,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,98.597
12021563,33031,GH,327814,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,98.646
12021563,33031,GH,327814,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,98.638
12021563,4274,GH,29614,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,101.779
12021563,4274,GH,29614,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,101.914
12021563,4274,GH,29614,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,101.919
12021564,14945,GH,3491,Ghanaculture.gov.gh,217.160.233.140,DE,DE,8560,1&1 Internet SE,1,1,DE,DE,8560,109.988
12021564,14945,GH,3491,Ghanaculture.gov.gh,217.160.233.140,DE,DE,8560,1&1 Internet SE,1,1,DE,DE,8560,109.916
12021564,14945,GH,3491,Ghanaculture.gov.gh,217.160.233.140,DE,DE,8560,1&1 Internet SE,1,1,DE,DE,8560,109.918
12021564,33031,GH,327814,Ghanaculture.gov.gh,217.160.233.140,DE,DE,8560,1&1 Internet SE,1,1,DE,DE,8560,113.863
12021564,33031,GH,327814,Ghanaculture.gov.gh,217.160.233.140,DE,DE,8560,1&1 Internet SE,1,1,DE,DE,8560,113.77
12021564,33031,GH,327814,Ghanaculture.gov.gh,217.160.233.140,DE,DE,8560,1&1 Internet SE,1,1,DE,DE,8560,113.72
12021564,4274,GH,29614,Ghanaculture.gov.gh,217.160.233.140,DE,DE,8560,1&1 Internet SE,1,1,DE,DE,8560,118.663
12021564,4274,GH,29614,Ghanaculture.gov.gh,217.160.233.140,DE,DE,8560,1&1 Internet SE,1,1,DE,DE,8560,118.344
12021564,4274,GH,29614,Ghanaculture.gov.gh,217.160.233.140,DE,DE,8560,1&1 Internet SE,1,1,DE,DE,8560,118.599
12021567,14945,GH,3491,Epa.gov.gh,64.92.125.35,US,US,13345,Rockynet.com,1,1,US,US,13345,217.217
12021567,14945,GH,3491,Epa.gov.gh,64.92.125.35,US,US,13345,Rockynet.com,1,1,US,US,13345,216.634
12021567,14945,GH,3491,Epa.gov.gh,64.92.125.35,US,US,13345,Rockynet.com,1,1,US,US,13345,216.828
12021567,33031,GH,327814,Epa.gov.gh,64.92.125.35,US,US,13345,Rockynet.com,1,1,US,US,13345,216.678
12021567,33031,GH,327814,Epa.gov.gh,64.92.125.35,US,US,13345,Rockynet.com,1,1,US,US,13345,216.58
12021567,33031,GH,327814,Epa.gov.gh,64.92.125.35,US,US,13345,Rockynet.com,1,1,US,US,13345,216.793
12021567,4274,GH,29614,Epa.gov.gh,64.92.125.35,US,US,13345,Rockynet.com,1,1,US,US,13345,238.879
12021567,4274,GH,29614,Epa.gov.gh,64.92.125.35,US,US,13345,Rockynet.com,1,1,US,US,13345,237.516
12021568,14945,GH,3491,Ilgs-edu.org,216.55.141.205,US,US,18501,Codero,1,1,US,US,18501,233.608
12021568,14945,GH,3491,Ilgs-edu.org,216.55.141.205,US,US,18501,Codero,1,1,US,US,18501,233.508
12021568,14945,GH,3491,Ilgs-edu.org,216.55.141.205,US,US,18501,Codero,1,1,US,US,18501,233.63
12021568,33031,GH,327814,Ilgs-edu.org,216.55.141.205,US,US,18501,Codero,1,1,US,US,18501,241.102
12021568,33031,GH,327814,Ilgs-edu.org,216.55.141.205,US,US,18501,Codero,1,1,US,US,18501,241.037
12021568,33031,GH,327814,Ilgs-edu.org,216.55.141.205,US,US,18501,Codero,1,1,US,US,18501,241.076
12021568,4274,GH,29614,Ilgs-edu.org,216.55.141.205,US,US,18501,Codero,1,1,US,US,18501,237.816
12021568,4274,GH,29614,Ilgs-edu.org,216.55.141.205,US,US,18501,Codero,1,1,US,US,18501,237.478
12021568,4274,GH,29614,Ilgs-edu.org,216.55.141.205,US,US,18501,Codero,1,1,US,US,18501,238.338
12021569,14945,GH,3491,Commonfund.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,193.697
12021569,14945,GH,3491,Commonfund.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,193.63
12021569,33031,GH,327814,Commonfund.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,99.162
12021569,33031,GH,327814,Commonfund.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,98.579
12021569,33031,GH,327814,Commonfund.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,98.625
12021569,4274,GH,29614,Commonfund.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,103.24
12021569,4274,GH,29614,Commonfund.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,102.746
12021569,4274,GH,29614,Commonfund.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,102.086
12021760,14945,GH,3491,Ghana.gov.gh,197.253.124.60,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,194.087
12021760,14945,GH,3491,Ghana.gov.gh,197.253.124.60,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,193.866
12021760,14945,GH,3491,Ghana.gov.gh,197.253.124.60,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,193.815
12021760,33031,GH,327814,Ghana.gov.gh,197.253.124.60,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,99.008
12021760,33031,GH,327814,Ghana.gov.gh,197.253.124.60,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,98.53
